cid,area_poly,osm_points_per_poly,poi_density
202,1506155.9672851562,318,0.00021113351266880713
102,2573873.598876953,259,0.0001006265420776717
78,2663740.4572753906,32,1.2013182407692688e-05
278,630771.3596191406,27,4.280473358254976e-05
23,870639.6159667969,2,2.297161722625166e-06
189,1295549.7255859375,121,9.339664669781425e-05
33,695467.9016113281,0,0.0
282,1353217.9562988281,51,3.7687942110589154e-05
116,1920002.7377929688,41,2.1354136217081257e-05
214,3462874.948486328,25,7.219434825657754e-06
16,1602647.7487792969,186,0.00011605794232804576
45,747383.2709960938,14,1.87320221676104e-05
206,1339923.7282714844,1,7.463111361495258e-07
270,1703677.25,79,4.6370285216874266e-05
296,420703.2370605469,47,0.00011171770468986394
145,2673393.927734375,27,1.009952170531102e-05
104,4747197.592529297,5,1.0532529776869917e-06
249,1689407.1081542969,60,3.551541822595438e-05
163,3379263.8120117188,29,8.581750823039748e-06
6,3465040.4467773438,6,1.7315815189344448e-06
165,3008268.0075683594,38,1.2631853247249778e-05
288,932444.4697265625,54,5.791229585589734e-05
144,2183835.3083496094,19,8.700289773389037e-06
110,717142.1945800781,11,1.5338659589596508e-05
138,1209511.6420898438,159,0.00013145801534020235
217,2414562.503173828,0,0.0
9,2349025.8168945312,0,0.0
201,807854.8564453125,72,8.912492067796838e-05
269,2644770.1057128906,0,0.0
229,2012892.1010742188,168,8.34619997318006e-05
109,1322243.224609375,47,3.554565387460013e-05
302,789510.7263183594,25,3.166518093627406e-05
27,2801439.6481933594,113,4.033640348913937e-05
230,937937.3374023438,267,0.00028466720467645266
122,3401926.609375,2,5.879021594670553e-07
128,2082772.0126953125,16,7.682069810077014e-06
310,2326735.845703125,17,7.306373016685402e-06
186,2225978.4165039062,41,1.841886682099734e-05
222,3132586.2873535156,4,1.2769001818555799e-06
226,877657.701171875,59,6.722438590947407e-05
19,1668264.5571289062,3,1.7982759312246126e-06
166,2039399.9753417969,9,4.413062718847797e-06
140,2684543.1833496094,63,2.3467679861045276e-05
